,MappedState,MappedDistrict,Month,Year,MaxTemp(C),MinTemp(C),Rainfall(mm)
84,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Apr,2020,30,27,31.3
85,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,May,2020,31,27,318.3
86,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Jun,2020,30,27,501.3
87,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Jul,2020,29,26,367.8
88,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Aug,2020,29,26,276.5
89,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Sep,2020,29,26,566.1
90,Andaman and Nicobar Islands,SOUTH ANDAMANS,Jan,2017,28,27,58.1
91,Andaman and Nicobar Islands,SOUTH ANDAMANS,Feb,2017,28,27,0.13
92,Andaman and Nicobar Islands,SOUTH ANDAMANS,Mar,2017,29,27,9.65
93,Andaman and Nicobar Islands,SOUTH ANDAMANS,Apr,2017,29,28,56.77
94,Andaman and Nicobar Islands,SOUTH ANDAMANS,May,2017,30,29,150.44
95,Andaman and Nicobar Islands,SOUTH ANDAMANS,Jun,2017,29,28,115.45
96,Andaman and Nicobar Islands,SOUTH ANDAMANS,Jul,2017,29,28,163.28
97,Andaman and Nicobar Islands,SOUTH ANDAMANS,Aug,2017,29,28,201.43
98,Andaman and Nicobar Islands,SOUTH ANDAMANS,Sep,2017,29,28,182.7
99,Andaman and Nicobar Islands,SOUTH ANDAMANS,Oct,2017,29,28,114.84
100,Andaman and Nicobar Islands,SOUTH ANDAMANS,Nov,2017,29,28,71.68
101,Andaman and Nicobar Islands,SOUTH ANDAMANS,Dec,2017,28,27,79.44
102,Andaman and Nicobar Islands,SOUTH ANDAMANS,Jan,2018,28,27,62.04
103,Andaman and Nicobar Islands,SOUTH ANDAMANS,Feb,2018,28,27,7.66
104,Andaman and Nicobar Islands,SOUTH ANDAMANS,Mar,2018,29,28,18.4
105,Andaman and Nicobar Islands,SOUTH ANDAMANS,Apr,2018,30,29,20.98
106,Andaman and Nicobar Islands,SOUTH ANDAMANS,May,2018,30,29,158.16
107,Andaman and Nicobar Islands,SOUTH ANDAMANS,Jun,2018,29,28,217.45
108,Andaman and Nicobar Islands,SOUTH ANDAMANS,Jul,2018,29,28,145.51
109,Andaman and Nicobar Islands,SOUTH ANDAMANS,Aug,2018,29,28,215.2
110,Andaman and Nicobar Islands,SOUTH ANDAMANS,Sep,2018,29,28,134.73
111,Andaman and Nicobar Islands,SOUTH ANDAMANS,Oct,2018,30,27,505.46
112,Andaman and Nicobar Islands,SOUTH ANDAMANS,Nov,2018,30,27,398.6
113,Andaman and Nicobar Islands,SOUTH ANDAMANS,Dec,2018,29,26,422.7
114,Andaman and Nicobar Islands,SOUTH ANDAMANS,Jan,2019,29,26,134.7
115,Andaman and Nicobar Islands,SOUTH ANDAMANS,Feb,2019,30,26,7.2
116,Andaman and Nicobar Islands,SOUTH ANDAMANS,Mar,2019,32,26,16.4
117,Andaman and Nicobar Islands,SOUTH ANDAMANS,Apr,2019,33,28,152.2
118,Andaman and Nicobar Islands,SOUTH ANDAMANS,May,2019,31,27,553.7
119,Andaman and Nicobar Islands,SOUTH ANDAMANS,Jun,2019,30,26,595.5
120,Andaman and Nicobar Islands,SOUTH ANDAMANS,Jul,2019,29,27,308.6
121,Andaman and Nicobar Islands,SOUTH ANDAMANS,Aug,2019,28,25,615.8
122,Andaman and Nicobar Islands,SOUTH ANDAMANS,Sep,2019,27,24,727.3
123,Andaman and Nicobar Islands,SOUTH ANDAMANS,Oct,2019,30,27,186.3
124,Andaman and Nicobar Islands,SOUTH ANDAMANS,Nov,2019,29,26,181.3
125,Andaman and Nicobar Islands,SOUTH ANDAMANS,Dec,2019,28,24,26
126,Andaman and Nicobar Islands,SOUTH ANDAMANS,Jan,2020,28,24,5.7
127,Andaman and Nicobar Islands,SOUTH ANDAMANS,Feb,2020,28,24,1.7
128,Andaman and Nicobar Islands,SOUTH ANDAMANS,Mar,2020,30,24,5.8
129,Andaman and Nicobar Islands,SOUTH ANDAMANS,Apr,2020,31,27,61.5
130,Andaman and Nicobar Islands,SOUTH ANDAMANS,May,2020,30,27,461.4
131,Andaman and Nicobar Islands,SOUTH ANDAMANS,Jun,2020,30,26,353.7
132,Andaman and Nicobar Islands,SOUTH ANDAMANS,Jul,2020,29,26,324.5
133,Andaman and Nicobar Islands,SOUTH ANDAMANS,Aug,2020,29,26,375
134,Andaman and Nicobar Islands,SOUTH ANDAMANS,Sep,2020,29,25,665.2
135,Andhra Pradesh,ANANTAPUR,Jan,2017,30,18,4.96
136,Andhra Pradesh,ANANTAPUR,Feb,2017,33,20,0
137,Andhra Pradesh,ANANTAPUR,Mar,2017,37,24,6.93
138,Andhra Pradesh,ANANTAPUR,Apr,2017,40,28,4.48
139,Andhra Pradesh,ANANTAPUR,May,2017,39,29,13.3
140,Andhra Pradesh,ANANTAPUR,Jun,2017,34,26,42.51
141,Andhra Pradesh,ANANTAPUR,Jul,2017,34,26,6.99
142,Andhra Pradesh,ANANTAPUR,Aug,2017,33,26,13.44
143,Andhra Pradesh,ANANTAPUR,Sep,2017,33,26,33.39
144,Andhra Pradesh,ANANTAPUR,Oct,2017,32,24,34.53
145,Andhra Pradesh,ANANTAPUR,Nov,2017,31,22,3.37
146,Andhra Pradesh,ANANTAPUR,Dec,2017,30,19,0.14
147,Andhra Pradesh,ANANTAPUR,Jan,2018,30,20,0
148,Andhra Pradesh,ANANTAPUR,Feb,2018,32,21,0.05
149,Andhra Pradesh,ANANTAPUR,Mar,2018,36,26,0.53
150,Andhra Pradesh,ANANTAPUR,Apr,2018,39,29,0.77
151,Andhra Pradesh,ANANTAPUR,May,2018,38,30,19.67
152,Andhra Pradesh,ANANTAPUR,Jun,2018,34,27,35.32
153,Andhra Pradesh,ANANTAPUR,Jul,2018,32,26,9.55
154,Andhra Pradesh,ANANTAPUR,Aug,2018,32,25,18.07
155,Andhra Pradesh,ANANTAPUR,Sep,2018,33,26,25.31
156,Andhra Pradesh,ANANTAPUR,Oct,2018,33,24,70.6
157,Andhra Pradesh,ANANTAPUR,Nov,2018,31,22,32.1
158,Andhra Pradesh,ANANTAPUR,Dec,2018,30,21,24.8
159,Andhra Pradesh,ANANTAPUR,Jan,2019,30,21,26.3
160,Andhra Pradesh,ANANTAPUR,Feb,2019,34,24,3.8
161,Andhra Pradesh,ANANTAPUR,Mar,2019,38,28,0.8
162,Andhra Pradesh,ANANTAPUR,Apr,2019,40,31,10
163,Andhra Pradesh,ANANTAPUR,May,2019,41,30,29.5
164,Andhra Pradesh,ANANTAPUR,Jun,2019,37,28,147.1
165,Andhra Pradesh,ANANTAPUR,Jul,2019,33,25,247.6
166,Andhra Pradesh,ANANTAPUR,Aug,2019,32,25,186.2
167,Andhra Pradesh,ANANTAPUR,Sep,2019,31,24,228.7
168,Andhra Pradesh,ANANTAPUR,Oct,2019,31,23,380.8
169,Andhra Pradesh,ANANTAPUR,Nov,2019,30,22,34
170,Andhra Pradesh,ANANTAPUR,Dec,2019,27,20,56.1
171,Andhra Pradesh,ANANTAPUR,Jan,2020,31,21,9.3
172,Andhra Pradesh,ANANTAPUR,Feb,2020,33,20,0.8
173,Andhra Pradesh,ANANTAPUR,Mar,2020,37,24,2.8
174,Andhra Pradesh,ANANTAPUR,Apr,2020,40,26,9.3
175,Andhra Pradesh,ANANTAPUR,May,2020,40,29,12.2
176,Andhra Pradesh,ANANTAPUR,Jun,2020,34,26,318.4
177,Andhra Pradesh,ANANTAPUR,Jul,2020,31,25,364.6
178,Andhra Pradesh,ANANTAPUR,Aug,2020,31,25,94.2
179,Andhra Pradesh,ANANTAPUR,Sep,2020,30,24,419.1
180,Andhra Pradesh,EAST GODAVARI,Jan,2017,28,21,0.81
181,Andhra Pradesh,EAST GODAVARI,Feb,2017,31,21,0.24
182,Andhra Pradesh,EAST GODAVARI,Mar,2017,32,24,42.51
183,Andhra Pradesh,EAST GODAVARI,Apr,2017,36,27,7.92
184,Andhra Pradesh,EAST GODAVARI,May,2017,37,29,12.36
185,Andhra Pradesh,EAST GODAVARI,Jun,2017,34,28,169.76
186,Andhra Pradesh,EAST GODAVARI,Jul,2017,33,28,227.3
187,Andhra Pradesh,EAST GODAVARI,Aug,2017,32,27,112.25
188,Andhra Pradesh,EAST GODAVARI,Sep,2017,32,27,149.4
189,Andhra Pradesh,EAST GODAVARI,Oct,2017,31,26,106.39
190,Andhra Pradesh,EAST GODAVARI,Nov,2017,29,24,34.28
191,Andhra Pradesh,EAST GODAVARI,Dec,2017,28,21,0.94
192,Andhra Pradesh,EAST GODAVARI,Jan,2018,27,20,0.02
193,Andhra Pradesh,EAST GODAVARI,Feb,2018,30,21,0
194,Andhra Pradesh,EAST GODAVARI,Mar,2018,33,24,0.85
195,Andhra Pradesh,EAST GODAVARI,Apr,2018,35,27,5.51
196,Andhra Pradesh,EAST GODAVARI,May,2018,35,28,7.45
197,Andhra Pradesh,EAST GODAVARI,Jun,2018,34,29,191.07
198,Andhra Pradesh,EAST GODAVARI,Jul,2018,31,27,191.99
199,Andhra Pradesh,EAST GODAVARI,Aug,2018,30,26,141.3
200,Andhra Pradesh,EAST GODAVARI,Sep,2018,31,26,91.04
201,Andhra Pradesh,EAST GODAVARI,Oct,2018,33,26,116.3
202,Andhra Pradesh,EAST GODAVARI,Nov,2018,31,24,24.4
203,Andhra Pradesh,EAST GODAVARI,Dec,2018,28,22,77.9
204,Andhra Pradesh,EAST GODAVARI,Jan,2019,29,21,2
205,Andhra Pradesh,EAST GODAVARI,Feb,2019,32,23,8.8
206,Andhra Pradesh,EAST GODAVARI,Mar,2019,36,25,15.9
207,Andhra Pradesh,EAST GODAVARI,Apr,2019,38,27,61.5
208,Andhra Pradesh,EAST GODAVARI,May,2019,39,29,180.9
209,Andhra Pradesh,EAST GODAVARI,Jun,2019,37,29,251.5
210,Andhra Pradesh,EAST GODAVARI,Jul,2019,32,26,386.5
211,Andhra Pradesh,EAST GODAVARI,Aug,2019,32,26,327.8
212,Andhra Pradesh,EAST GODAVARI,Sep,2019,30,24,323.1
213,Andhra Pradesh,EAST GODAVARI,Oct,2019,31,25,249.7
214,Andhra Pradesh,EAST GODAVARI,Nov,2019,31,23,14.6
215,Andhra Pradesh,EAST GODAVARI,Dec,2019,28,21,26.3
216,Andhra Pradesh,EAST GODAVARI,Jan,2020,29,21,39.4
217,Andhra Pradesh,EAST GODAVARI,Feb,2020,31,22,23.2
218,Andhra Pradesh,EAST GODAVARI,Mar,2020,34,24,30
219,Andhra Pradesh,EAST GODAVARI,Apr,2020,38,26,64.3
220,Andhra Pradesh,EAST GODAVARI,May,2020,39,28,30
221,Andhra Pradesh,EAST GODAVARI,Jun,2020,36,28,199.6
222,Andhra Pradesh,EAST GODAVARI,Jul,2020,33,27,231.9
223,Andhra Pradesh,EAST GODAVARI,Aug,2020,30,25,625.3
224,Andhra Pradesh,EAST GODAVARI,Sep,2020,33,26,303.4
225,Andhra Pradesh,ANANTAPUR,Jan,2017,31,17,0.13
226,Andhra Pradesh,ANANTAPUR,Feb,2017,35,18,0.19
227,Andhra Pradesh,ANANTAPUR,Mar,2017,37,23,11.66
228,Andhra Pradesh,ANANTAPUR,Apr,2017,41,26,0.33
229,Andhra Pradesh,ANANTAPUR,May,2017,42,29,4.11
230,Andhra Pradesh,ANANTAPUR,Jun,2017,36,28,98.26
231,Andhra Pradesh,ANANTAPUR,Jul,2017,34,27,108.21
232,Andhra Pradesh,ANANTAPUR,Aug,2017,32,26,129.49
233,Andhra Pradesh,ANANTAPUR,Sep,2017,32,26,74.73
234,Andhra Pradesh,ANANTAPUR,Oct,2017,32,24,38.71
235,Andhra Pradesh,ANANTAPUR,Nov,2017,31,22,13.7
236,Andhra Pradesh,ANANTAPUR,Dec,2017,31,19,0.47
237,Andhra Pradesh,ANANTAPUR,Jan,2018,31,18,0
238,Andhra Pradesh,ANANTAPUR,Feb,2018,34,19,0
239,Andhra Pradesh,ANANTAPUR,Mar,2018,37,23,2.89
240,Andhra Pradesh,ANANTAPUR,Apr,2018,39,26,6.41
241,Andhra Pradesh,ANANTAPUR,May,2018,40,28,5.19
242,Andhra Pradesh,ANANTAPUR,Jun,2018,37,29,122.88
243,Andhra Pradesh,ANANTAPUR,Jul,2018,32,27,110.75
244,Andhra Pradesh,ANANTAPUR,Aug,2018,31,25,199
245,Andhra Pradesh,ANANTAPUR,Sep,2018,32,25,98.99
246,Andhra Pradesh,ANANTAPUR,Oct,2018,33,24,116.56
247,Andhra Pradesh,ANANTAPUR,Nov,2018,32,23,66.7
248,Andhra Pradesh,ANANTAPUR,Dec,2018,30,21,50.5
249,Andhra Pradesh,ANANTAPUR,Jan,2019,31,19,25.1
250,Andhra Pradesh,ANANTAPUR,Feb,2019,34,21,11.4
251,Andhra Pradesh,ANANTAPUR,Mar,2019,37,25,4.5
252,Andhra Pradesh,ANANTAPUR,Apr,2019,40,28,24.6
253,Andhra Pradesh,ANANTAPUR,May,2019,42,30,26.2
254,Andhra Pradesh,ANANTAPUR,Jun,2019,38,29,112.1
255,Andhra Pradesh,ANANTAPUR,Jul,2019,32,26,363.5
256,Andhra Pradesh,ANANTAPUR,Aug,2019,31,25,483.9
257,Andhra Pradesh,ANANTAPUR,Sep,2019,29,24,415.8
258,Andhra Pradesh,ANANTAPUR,Oct,2019,30,24,482
259,Andhra Pradesh,ANANTAPUR,Nov,2019,31,22,47.4
260,Andhra Pradesh,ANANTAPUR,Dec,2019,30,21,20.6
261,Andhra Pradesh,ANANTAPUR,Jan,2020,31,20,37.9
262,Andhra Pradesh,ANANTAPUR,Feb,2020,33,20,19.1
263,Andhra Pradesh,ANANTAPUR,Mar,2020,36,23,33.2
264,Andhra Pradesh,ANANTAPUR,Apr,2020,39,26,54.8
265,Andhra Pradesh,ANANTAPUR,May,2020,41,28,9.8
266,Andhra Pradesh,ANANTAPUR,Jun,2020,35,28,218.8
267,Andhra Pradesh,ANANTAPUR,Jul,2020,32,27,252.6
268,Andhra Pradesh,ANANTAPUR,Aug,2020,30,24,793.4
269,Andhra Pradesh,ANANTAPUR,Sep,2020,31,25,443.3
270,Andhra Pradesh,CHITTOOR,Jan,2017,29,16,3.31
271,Andhra Pradesh,CHITTOOR,Feb,2017,32,15,0.18
272,Andhra Pradesh,CHITTOOR,Mar,2017,35,21,10.46
273,Andhra Pradesh,CHITTOOR,Apr,2017,39,24,2.34
274,Andhra Pradesh,CHITTOOR,May,2017,39,27,13.86
275,Andhra Pradesh,CHITTOOR,Jun,2017,35,25,56.01
276,Andhra Pradesh,CHITTOOR,Jul,2017,35,26,26.35
